id,lat,lng
KCI-AC,-6.1280,106.8451
KCI-AK,-6.1446,106.8008
KCI-BJD,-6.4927,106.7951
KCI-BKS,-6.2364,106.9991
KCI-BKST,-6.2468,107.0181
KCI-BOI,-6.1600,106.7363
KCI-BOO,-6.5956,106.7904
KCI-BPR,-6.1721,106.6648
# Hand-added: absent from the kci.id station feed (fg_enable), so syncStations
# never creates it. See db/scripts/kci_bst_station_insert.sql.
KCI-BST,-6.1273,106.6525
KCI-BUA,-6.2154,106.9232
KCI-CBN,-6.4640,106.8526
KCI-CC,-6.3295,106.6186
KCI-CIT,-6.2617,107.0836
KCI-CJT,-6.3543,106.5095
KCI-CKI,-6.1984,106.8412
KCI-CKR,-6.2552,107.1452
KCI-CKY,-6.3356,106.4115
KCI-CLT,-6.5308,106.8005
KCI-CSK,-6.3244,106.6412
KCI-CTA,-6.4488,106.8024
KCI-CTR,-6.3347,106.3324
KCI-CUK,-6.2189,106.9523
KCI-CW,-6.2424,106.8586
KCI-DAR,-6.3380,106.4924
KCI-DP,-6.4047,106.8170
KCI-DPB,-6.3912,106.8216
KCI-DRN,-6.2552,106.8551
KCI-DU,-6.1552,106.8013
KCI-GDD,-6.1859,106.8324
KCI-GGL,-6.1620,106.7887
KCI-GST,-6.1860,106.8507
KCI-JAKK,-6.1375,106.8146
KCI-JAY,-6.1411,106.8229
KCI-JMU,-6.2887,106.7290
KCI-JNG,-6.2149,106.8702
KCI-JUA,-6.1667,106.8304
KCI-KAT,-6.2007,106.8159
KCI-KBY,-6.2372,106.7824
KCI-KDS,-6.1661,106.7035
KCI-KLD,-6.2133,106.8994
KCI-KLDB,-6.2176,106.9401
KCI-KMO,-6.1616,106.8415
KCI-KMT,-6.1936,106.8565
KCI-KPB,-6.1325,106.8285
KCI-KRI,-6.2244,106.9798
KCI-LNA,-6.3303,106.8347
KCI-MGB,-6.1498,106.8269
KCI-MJ,-6.3322,106.3965
KCI-MTR,-6.2125,106.8597
KCI-MRI,-6.2100,106.8498
KCI-TLM,-6.2572,107.1111
KCI-NMO,-6.4662,106.9062
KCI-PDRG,-6.4607,106.8242
KCI-PDJ,-6.2765,106.7445
KCI-PI,-6.1697,106.6810
KCI-PLM,-6.2075,106.7973
KCI-POC,-6.3687,106.8323
KCI-POK,-6.2091,106.8623
KCI-PRP,-6.3442,106.5699
KCI-PSE,-6.1746,106.8443
KCI-PSG,-6.1612,106.7718
KCI-PSM,-6.2840,106.8445
KCI-PSMB,-6.2629,106.8516
KCI-RJW,-6.1448,106.8367
KCI-RU,-6.3149,106.6762
KCI-RW,-6.1626,106.7235
KCI-SDM,-6.2969,106.7126
KCI-SRP,-6.3200,106.6653
KCI-SUDB,-6.2015,106.8196
KCI-SUD,-6.2024,106.8237
KCI-SW,-6.1606,106.8276
KCI-TB,-6.2586,107.0557
KCI-TEB,-6.2262,106.8584
KCI-TEJ,-6.3274,106.4615
KCI-TGS,-6.3289,106.4340
KCI-THB,-6.1857,106.8107
KCI-TKO,-6.1585,106.7562
KCI-TNG,-6.1768,106.6310
KCI-TNT,-6.3078,106.8389
KCI-TPK,-6.1109,106.8811
KCI-TTI,-6.1752,106.6459
KCI-UI,-6.3607,106.8317
KCI-UP,-6.3389,106.8343
KCI-JBU,-6.3030,106.2604
KCI-CT,-6.2657,106.2678
KCI-CKL,-6.2172,106.2445
KCI-WLT,-6.1556,106.2179
KCI-KRA,-6.0390,106.1619
KCI-RK,-6.3527,106.2512
KCI-TOJB,-6.0312,106.1213
KCI-CLG,-6.0196,106.0530
KCI-KEN,-6.0096,106.0226
KCI-MER,-5.9301,105.9967
MRTJ-LBB,-6.2892,106.7749
MRTJ-FTM,-6.2924,106.7924
MRTJ-CPR,-6.2782,106.7973
MRTJ-HJN,-6.2666,106.7972
MRTJ-BLA,-6.2557,106.7970
MRTJ-BLM,-6.2444,106.7981
MRTJ-SSM,-6.2387,106.7983
MRTJ-SNY,-6.2267,106.8024
MRTJ-IST,-6.2222,106.8085
MRTJ-BNH,-6.2149,106.8179
MRTJ-STB,-6.2088,106.8215
MRTJ-DKA,-6.2007,106.8227
MRTJ-BHI,-6.1918,106.8229
LRTJ-PGD,-6.1560,106.9141
LRTJ-BVU,-6.1593,106.9060
LRTJ-BVS,-6.1689,106.8999
LRTJ-PUM,-6.1772,106.8933
LRTJ-EQS,-6.1836,106.8912
LRTJ-VEL,-6.1924,106.8911
LRTJBDB-DKA,-6.2047,106.8256
LRTJBDB-SET,-6.2092,106.8302
LRTJBDB-RAS,-6.2215,106.8321
LRTJBDB-KUA,-6.2287,106.8331
LRTJBDB-PAN,-6.2419,106.8383
LRTJBDB-CKK,-6.2434,106.8569
LRTJBDB-CIL,-6.2434,106.8638
LRTJBDB-CWG,-6.2457,106.8712
LRTJBDB-HAL,-6.2456,106.8874
LRTJBDB-JBU,-6.2576,106.9282
LRTJBDB-CK1,-6.2564,106.9518
LRTJBDB-CK2,-6.2546,106.9631
LRTJBDB-BEK,-6.2528,106.9901
LRTJBDB-JTM,-6.2638,107.0216
LRTJBDB-TMI,-6.2928,106.8805
LRTJBDB-KAM,-6.3093,106.8843
LRTJBDB-CRC,-6.3237,106.8867
LRTJBDB-HAR,-6.3738,106.8955

# LRT Jakarta Phase 1B (Velodrome -> Manggarai), opens 2026-08-26.
# Fill in the real coordinates; edge distances are haversined from them.
# Blank rows are skipped by generateLatLngSQL, so a partly-filled file is safe to run.
LRTJ-RWM,-6.1930,106.8826
LRTJ-PKA,-6.1919,106.8706
LRTJ-KYM,-6.1950,106.8599
LRTJ-MAT,-6.202,106.8502
LRTJ-MGI,-6.2086,106.8457

# Kalayang Bandara (APCGK) — the Soekarno-Hatta airport people-mover.
# Airside/landside positions inside the airport; SHIA sits ~50 m in a straight
# line from KCI-BST (same building), though the walk between them is ~500 m.
APCGK-T1,-6.1302,106.6558
APCGK-SHIA,-6.1271,106.6529
APCGK-T2,-6.1231,106.6530
APCGK-T3,-6.1199,106.6649
